понимать,"{'104022-2.txt': [2125, 8404, 11898]}"
двадцать,"{'104022-2.txt': [2141, 4802, 4817, 13452, 13462]}"
год,"{'104022-2.txt': [2150, 4798, 13448, 14023]}"
сто,"{'104022-2.txt': [2169, 3285, 11515, 13708, 13860]}"
луидор,{'104022-2.txt': [2173]}
жалование,{'104022-2.txt': [2180]}
доля,{'104022-2.txt': [2192]}
прибыль,{'104022-2.txt': [2199]}
бедный,{'104022-2.txt': [2220]}
матрос,{'104022-2.txt': [2227]}
этого,{'104022-2.txt': [2242]}
право,{'104022-2.txt': [2264]}
сказать,"{'104022-2.txt': [2270, 2609, 2662, 2719, 3125, 3618, 3711, 4069, 4956, 5458, 5975, 6292, 6470, 6697, 7656, 7931, 8074, 8273, 8613, 8779, 9330, 9785, 9906, 10169, 10281, 11068, 13848]}"
хотеть,"{'104022-2.txt': [2311, 4312]}"
чтобы,"{'104022-2.txt': [2318, 4319, 5913, 6339, 7120, 7370, 13826, 14041]}"
деньга,"{'104022-2.txt': [2335, 2869, 3766, 4021, 4127, 5332, 6262, 6412, 9519, 9643]}"
завести,{'104022-2.txt': [2345]}
домик,"{'104022-2.txt': [2358, 12628]}"
сад,{'104022-2.txt': [2366]}
для,"{'104022-2.txt': [2370, 4220, 12698, 13994, 14551]}"
ваш,"{'104022-2.txt': [2374, 3978, 5101]}"
ломоносов,{'104022-2.txt': [2378]}
жимолость,{'104022-2.txt': [2400]}
дурно,{'104022-2.txt': [2431]}
ничто,"{'104022-2.txt': [2439, 2445, 5224, 6488, 9996, 10332, 14002, 14333]}"
сейчас,"{'104022-2.txt': [2452, 2514, 3797]}"
пройдет,{'104022-2.txt': [2459]}
изменить,{'104022-2.txt': [2474]}
откинуться,{'104022-2.txt': [2495]}
назад,"{'104022-2.txt': [2506, 3004, 11301]}"
выпить,{'104022-2.txt': [2526]}
стакан,"{'104022-2.txt': [2533, 10937]}"
вино,"{'104022-2.txt': [2540, 2572, 2674, 2734, 2850, 10954, 11230, 11624]}"
подкрепить,{'104022-2.txt': [2552]}
где,"{'104022-2.txt': [2563, 2670, 5824, 11536]}"
спасибо,{'104022-2.txt': [2583]}
искать,"{'104022-2.txt': [2594, 2711]}"
надо,"{'104022-2.txt': [2604, 2657, 3485]}"
удержать,{'104022-2.txt': [2634]}
сына,{'104022-2.txt': [2643]}
начать,{'104022-2.txt': [2684]}
шарить,{'104022-2.txt': [2691]}
шкафу,{'104022-2.txt': [2700]}
вскричать,"{'104022-2.txt': [2754, 3301]}"
испуг,{'104022-2.txt': [2776]}
глядеть,{'104022-2.txt': [2782]}
впалый,{'104022-2.txt': [2796]}
щека,{'104022-2.txt': [2811]}
пустой,{'104022-2.txt': [2829]}
полка,{'104022-2.txt': [2836]}
хватить,{'104022-2.txt': [2861]}
всего,"{'104022-2.txt': [2887, 4285]}"
вдоволь,{'104022-2.txt': [2893]}
раз,"{'104022-2.txt': [2901, 5251, 10506, 13712, 13864]}"
однако,"{'104022-2.txt': [2930, 7954]}"
прошептать,"{'104022-2.txt': [2940, 4604]}"
отирать,{'104022-2.txt': [2958]}
пот,{'104022-2.txt': [2966]}
лицо,"{'104022-2.txt': [2972, 3918, 11027]}"
оставить,{'104022-2.txt': [2982]}
двести,"{'104022-2.txt': [2991, 3366]}"
франк,"{'104022-2.txt': [2998, 3295, 3373]}"
тот,"{'104022-2.txt': [3010, 5440, 6585, 9965, 11297, 11526, 11775, 14037]}"
три,"{'104022-2.txt': [3014, 3440, 12065, 12304, 13361]}"
месяц,"{'104022-2.txt': [3018, 3444, 12069]}"
когда,"{'104022-2.txt': [3024, 5473, 7261, 7680, 7700, 8807]}"
уезжал,{'104022-2.txt': [3030]}
уезжать,{'104022-2.txt': [3058]}
забыть,{'104022-2.txt': [3066]}
вернуть,{'104022-2.txt': [3073]}
должок,{'104022-2.txt': [3081]}
сосед,"{'104022-2.txt': [3088, 4643, 5083, 5388, 6436]}"
кадрусс,"{'104022-2.txt': [3094, 3277, 4457, 4773, 5089, 5905, 5950, 6478, 7251, 7939, 8082, 8365, 8600, 8787, 9008, 9026, 9214, 9845, 11076]}"
напомнить,{'104022-2.txt': [3113]}
если,"{'104022-2.txt': [3137, 4145, 5112, 6424, 6643, 8551, 9808, 9889, 10880, 13751]}"
заплатить,"{'104022-2.txt': [3147, 3353]}"
пойти,"{'104022-2.txt': [3169, 5628, 10845, 10864, 10888]}"
господин,"{'104022-2.txt': [3177, 6783, 9691]}"
бояться,"{'104022-2.txt': [3196, 6309]}"
заплатил,{'104022-2.txt': [3243]}
ведь,"{'104022-2.txt': [3257, 3670, 10226]}"
должный,"{'104022-2.txt': [3269, 4444, 7217]}"
сорок,{'104022-2.txt': [3289]}
пролепетать,{'104022-2.txt': [3323]}
они,"{'104022-2.txt': [3349, 4409, 5351, 6442, 8233, 10989, 11204, 11268, 11373, 11803, 11821, 11999, 12323, 12397]}"
оставил,{'104022-2.txt': [3392]}
кивнуть,"{'104022-2.txt': [3409, 9000]}"
головой,{'104022-2.txt': [3417]}
целое,{'104022-2.txt': [3434]}
шестьдесят,{'104022-2.txt': [3453]}
франков,{'104022-2.txt': [3464]}
много,"{'104022-2.txt': [3474, 4158]}"
простонать,{'104022-2.txt': [3516]}
бросаться,{'104022-2.txt': [3534]}
колено,{'104022-2.txt': [3547]}
отцом,{'104022-2.txt': [3560]}
тобой,{'104022-2.txt': [3574]}
никогда,"{'104022-2.txt': [3582, 5411, 6558, 14307]}"
прощу,{'104022-2.txt': [3602]}
бросить,{'104022-2.txt': [3610]}
забытый,{'104022-2.txt': [3662]}
теперь,"{'104022-2.txt': [3675, 7673, 9684, 9944]}"
надежда,"{'104022-2.txt': [3745, 9248, 14087, 14182]}"
коекакий,{'104022-2.txt': [3757]}
брать,"{'104022-2.txt': [3783, 3789, 3987]}"
послать,{'104022-2.txt': [3807]}
купить,{'104022-2.txt': [3815]}
чтонибудь,{'104022-2.txt': [3822]}
высыпать,"{'104022-2.txt': [3839, 6357]}"
стол,"{'104022-2.txt': [3851, 6173, 6369]}"
дюжина,"{'104022-2.txt': [3856, 8237]}"
золотой,{'104022-2.txt': [3863]}
или,"{'104022-2.txt': [3876, 8736, 10104, 10126, 12308, 13983]}"
шесть,"{'104022-2.txt': [3880, 4826]}"
пятифранковый,{'104022-2.txt': [3886]}
монета,{'104022-2.txt': [3900]}
мелочь,{'104022-2.txt': [3909]}
старое,"{'104022-2.txt': [3923, 7532]}"
просияло,{'104022-2.txt': [3937]}
чей,{'104022-2.txt': [3948]}
наш,"{'104022-2.txt': [3983, 4639, 5831]}"
накупить,"{'104022-2.txt': [3993, 4164]}"
провизия,{'104022-2.txt': [4002]}
жалеть,{'104022-2.txt': [4014]}
завтра,"{'104022-2.txt': [4028, 4396]}"
принесу,{'104022-2.txt': [4041]}
постоять,"{'104022-2.txt': [4051, 4060]}"
улыбаться,"{'104022-2.txt': [4084, 5003]}"
позволение,"{'104022-2.txt': [4101, 7781, 11953]}"
тратить,{'104022-2.txt': [4119]}
потихоньку,{'104022-2.txt': [4134]}
сразу,{'104022-2.txt': [4152]}
пожалуй,{'104022-2.txt': [4180]}
человек,"{'104022-2.txt': [4188, 4790, 6050, 7167, 8629, 12255, 13632, 14476]}"
подумать,{'104022-2.txt': [4196]}
прийтись,{'104022-2.txt': [4211]}
возвращения,{'104022-2.txt': [4239]}
делать,{'104022-2.txt': [4253]}
угодный,"{'104022-2.txt': [4267, 5120]}"
прежде,{'104022-2.txt': [4278]}
наймит,{'104022-2.txt': [4291]}
