
104022-3
кроме, TF-IDF: 0.000651
сюда, TF-IDF: 0.000651
называть, TF-IDF: 0.000651
жестокий, TF-IDF: 0.000647
раздаться, TF-IDF: 0.000647
медленно, TF-IDF: 0.000647
поднести, TF-IDF: 0.000647
считаться, TF-IDF: 0.000647
виноватый, TF-IDF: 0.000647
поручение, TF-IDF: 0.000647
вслед, TF-IDF: 0.000647
понимать, TF-IDF: 0.000637
обещать, TF-IDF: 0.000636
божий, TF-IDF: 0.000629
вниз, TF-IDF: 0.000629
предать, TF-IDF: 0.000629
улыбнулся, TF-IDF: 0.000629
жалеть, TF-IDF: 0.000629
пример, TF-IDF: 0.000629
окинуть, TF-IDF: 0.000629
страдать, TF-IDF: 0.000629
скрыться, TF-IDF: 0.000629
крайний, TF-IDF: 0.000621
значит, TF-IDF: 0.000616
закон, TF-IDF: 0.000613
надеть, TF-IDF: 0.000613
скрывать, TF-IDF: 0.000613
подавать, TF-IDF: 0.000613
бояться, TF-IDF: 0.000599
париж, TF-IDF: 0.000599
поступить, TF-IDF: 0.000597
море, TF-IDF: 0.000597
показывать, TF-IDF: 0.000597
ожидание, TF-IDF: 0.000597
изменить, TF-IDF: 0.000597
пить, TF-IDF: 0.000597
возвращение, TF-IDF: 0.000597
звать, TF-IDF: 0.000591
уж, TF-IDF: 0.000591
спокойный, TF-IDF: 0.000591
письмо, TF-IDF: 0.000591
довольный, TF-IDF: 0.000581
зуб, TF-IDF: 0.000581
зависеть, TF-IDF: 0.000581
глухой, TF-IDF: 0.000581
месяц, TF-IDF: 0.000577
стоять, TF-IDF: 0.000577
прошептать, TF-IDF: 0.000577
голос, TF-IDF: 0.000567
свобода, TF-IDF: 0.000566
него, TF-IDF: 0.000566
марсель, TF-IDF: 0.000566
проникнуть, TF-IDF: 0.000566
власть, TF-IDF: 0.000566
плохо, TF-IDF: 0.000566
падать, TF-IDF: 0.000566
святой, TF-IDF: 0.000566
про, TF-IDF: 0.000566
просто, TF-IDF: 0.000566
вдруг, TF-IDF: 0.000566
остановиться, TF-IDF: 0.000563
ах, TF-IDF: 0.000563
стол, TF-IDF: 0.000563
служба, TF-IDF: 0.000552
наверное, TF-IDF: 0.000552
притом, TF-IDF: 0.000552
опустить, TF-IDF: 0.000552
руку, TF-IDF: 0.000552
пот, TF-IDF: 0.000552
позвать, TF-IDF: 0.000552
вовсе, TF-IDF: 0.000552
двое, TF-IDF: 0.000552
сейчас, TF-IDF: 0.000545
банкир, TF-IDF: 0.000539
повторять, TF-IDF: 0.000539
плохой, TF-IDF: 0.000539
средство, TF-IDF: 0.000539
грозный, TF-IDF: 0.000539
номер, TF-IDF: 0.000539
шляпа, TF-IDF: 0.000525
побледнеть, TF-IDF: 0.000525
пожать, TF-IDF: 0.000525
подобно, TF-IDF: 0.000525
мне, TF-IDF: 0.000525
тень, TF-IDF: 0.000525
действовать, TF-IDF: 0.000525
пригласить, TF-IDF: 0.000525
моряк, TF-IDF: 0.000512
скорее, TF-IDF: 0.000512
крикнуть, TF-IDF: 0.000512
какойтый, TF-IDF: 0.000512
уехать, TF-IDF: 0.0005
холодный, TF-IDF: 0.0005
сначала, TF-IDF: 0.0005
ним, TF-IDF: 0.0005
иной, TF-IDF: 0.0005
тяжёлый, TF-IDF: 0.0005
очевидно, TF-IDF: 0.0005
доставить, TF-IDF: 0.0005
хороший, TF-IDF: 0.000498
его, TF-IDF: 0.000496
простой, TF-IDF: 0.000488
прервать, TF-IDF: 0.000488
труд, TF-IDF: 0.000488
разве, TF-IDF: 0.000486
губа, TF-IDF: 0.000483
обернуться, TF-IDF: 0.000476
солнце, TF-IDF: 0.000476
вокруг, TF-IDF: 0.000476
любопытство, TF-IDF: 0.000476
приходить, TF-IDF: 0.000476
прочесть, TF-IDF: 0.000476
встать, TF-IDF: 0.000471
совсем, TF-IDF: 0.000471
нога, TF-IDF: 0.000471
смотреть, TF-IDF: 0.00047
дойти, TF-IDF: 0.000465
дух, TF-IDF: 0.000465
ребёнок, TF-IDF: 0.000465
отец, TF-IDF: 0.000454
привыкнуть, TF-IDF: 0.000454
мешать, TF-IDF: 0.000454
рассказывать, TF-IDF: 0.000454
вздрогнуть, TF-IDF: 0.000454
долго, TF-IDF: 0.000454
над, TF-IDF: 0.000446
равно, TF-IDF: 0.000443
туда, TF-IDF: 0.000443
там, TF-IDF: 0.000436
кровь, TF-IDF: 0.000433
обращаться, TF-IDF: 0.000433
глубина, TF-IDF: 0.000433
тело, TF-IDF: 0.000433
вспомнить, TF-IDF: 0.000433
старое, TF-IDF: 0.000423
почувствовать, TF-IDF: 0.000423
схватить, TF-IDF: 0.000423
брать, TF-IDF: 0.000423
мысль, TF-IDF: 0.000411
оставаться, TF-IDF: 0.000411
иногда, TF-IDF: 0.000403
потерять, TF-IDF: 0.000403
ожидать, TF-IDF: 0.000403
точно, TF-IDF: 0.000403
отдать, TF-IDF: 0.000394
становиться, TF-IDF: 0.000394
обед, TF-IDF: 0.000394
плечо, TF-IDF: 0.000394
мера, TF-IDF: 0.000388
ошибаться, TF-IDF: 0.000385
спокойно, TF-IDF: 0.000385
отчаяние, TF-IDF: 0.000385
улыбаться, TF-IDF: 0.000385
благодарить, TF-IDF: 0.000385
четыре, TF-IDF: 0.000377
волнение, TF-IDF: 0.000376
восемь, TF-IDF: 0.000376
собственный, TF-IDF: 0.000376
узнать, TF-IDF: 0.000373
выражение, TF-IDF: 0.000367
дорогой, TF-IDF: 0.000366
сидеть, TF-IDF: 0.000366
мир, TF-IDF: 0.000358
держать, TF-IDF: 0.000358
покинуть, TF-IDF: 0.000358
дорога, TF-IDF: 0.000358
сердце, TF-IDF: 0.000355
богатый, TF-IDF: 0.00035
помощь, TF-IDF: 0.00035
стараться, TF-IDF: 0.00035
мыть, TF-IDF: 0.00035
уйти, TF-IDF: 0.00035
госпожа, TF-IDF: 0.00035
между, TF-IDF: 0.000349
лицо, TF-IDF: 0.000349
оставить, TF-IDF: 0.000345
улыбка, TF-IDF: 0.000345
принести, TF-IDF: 0.000342
много, TF-IDF: 0.000342
удар, TF-IDF: 0.000342
небо, TF-IDF: 0.000342
ведь, TF-IDF: 0.000341
ответить, TF-IDF: 0.000341
почти, TF-IDF: 0.000334
вас, TF-IDF: 0.000334
молодой, TF-IDF: 0.000326
спрашивать, TF-IDF: 0.000326
ранний, TF-IDF: 0.000326
право, TF-IDF: 0.000324
едва, TF-IDF: 0.000324
изз, TF-IDF: 0.000318
ибо, TF-IDF: 0.000318
можно, TF-IDF: 0.000315
ждать, TF-IDF: 0.000315
всегда, TF-IDF: 0.000314
взглянуть, TF-IDF: 0.000314
каждый, TF-IDF: 0.000314
последний, TF-IDF: 0.000314
заметить, TF-IDF: 0.000314
сторона, TF-IDF: 0.000314
нельзя, TF-IDF: 0.00031
надежда, TF-IDF: 0.00031
молодая, TF-IDF: 0.000304
дочь, TF-IDF: 0.000303
разговор, TF-IDF: 0.000303
немного, TF-IDF: 0.000296
несчастие, TF-IDF: 0.000296
меня, TF-IDF: 0.000288
искать, TF-IDF: 0.000288
радость, TF-IDF: 0.000288
найти, TF-IDF: 0.000287
друг, TF-IDF: 0.000282
продолжать, TF-IDF: 0.000281
